Order Id,Line Number,Vendor Id,Vendor Name,Product Id,Product Name,Product Description,Product Price,Order Quantity,Cost Per Order,Accounts Payable Terms,Order Date,Arrival Date
10001,1,1001,Hulkey Fasteners,1122,Airframe fasteners,Airframe fasteners by Hulkey Fasteners,4.25,"19,500.00","82,875.00",30,6/21/18,7/11/18
10002,1,1005,Alum Sheeting,1243,Airframe fasteners,Airframe fasteners by Alum Sheeting,4.25,"10,000.00","42,500.00",30,6/24/18,7/12/18
10003,1,1004,Fast-Tie Aerospace,5462,Shielded Cable/ft.,Shielded Cable/ft. by Fast-Tie Aerospace,1.05,"23,000.00","24,150.00",30,6/26/18,7/13/18
10004,1,1004,Fast-Tie Aerospace,5462,Shielded Cable/ft.,Shielded Cable/ft. by Fast-Tie Aerospace,1.05,"21,500.00","22,575.00",30,7/1/18,7/20/18
10005,1,1006,Steelpin Inc.,5319,Shielded Cable/ft.,Shielded Cable/ft. by Steelpin Inc.,1.1,"17,500.00","19,250.00",30,7/6/18,7/29/18
10006,1,1004,Fast-Tie Aerospace,5462,Shielded Cable/ft.,Shielded Cable/ft. by Fast-Tie Aerospace,1.05,"22,500.00","23,625.00",30,7/6/18,7/24/18
10007,1,1001,Hulkey Fasteners,3166,Electrical Connector,Electrical Connector by Hulkey Fasteners,1.25,"5,600.00","7,000.00",30,7/11/18,7/27/18
10008,1,1006,Steelpin Inc.,4312,Bolt-nut package,Bolt-nut package by Steelpin Inc.,3.75,"4,250.00","15,937.50",30,7/11/18,7/30/18
10009,1,1006,Steelpin Inc.,5319,Shielded Cable/ft.,Shielded Cable/ft. by Steelpin Inc.,1.1,"18,100.00","19,910.00",30,7/11/18,8/3/18
10010,1,1004,Fast-Tie Aerospace,5462,Shielded Cable/ft.,Shielded Cable/ft. by Fast-Tie Aerospace,1.05,"22,500.00","23,625.00",30,7/11/18,7/31/18
10011,1,1004,Fast-Tie Aerospace,6321,O-Ring,O-Ring by Fast-Tie Aerospace,2.45,"1,300.00","3,185.00",30,7/11/18,8/2/18
10012,1,1003,Durrable Products,7260,Pressure Gauge,Pressure Gauge by Durrable Products,90,100.00,"9,000.00",45,7/11/18,7/26/18
10013,1,1001,Hulkey Fasteners,9966,Hatch Decal,Hatch Decal by Hulkey Fasteners,0.75,500.00,375.00,30,7/11/18,7/29/18
10014,1,1006,Steelpin Inc.,5234,Electrical Connector,Electrical Connector by Steelpin Inc.,1.65,"4,500.00","7,425.00",30,7/14/18,8/3/18
10015,1,1001,Hulkey Fasteners,3166,Electrical Connector,Electrical Connector by Hulkey Fasteners,1.25,"5,500.00","6,875.00",30,7/18/18,8/4/18
10016,1,1006,Steelpin Inc.,4312,Bolt-nut package,Bolt-nut package by Steelpin Inc.,3.75,"4,200.00","15,750.00",30,7/18/18,8/8/18
10017,1,1005,Alum Sheeting,5417,Control Panel,Control Panel by Alum Sheeting,255,406.00,"103,530.00",30,7/18/18,8/8/18
10018,1,1006,Steelpin Inc.,5234,Electrical Connector,Electrical Connector by Steelpin Inc.,1.65,"4,850.00","8,002.50",30,7/19/18,8/9/18
10019,1,1006,Steelpin Inc.,4312,Bolt-nut package,Bolt-nut package by Steelpin Inc.,3.75,"4,150.00","15,562.50",30,7/20/18,8/9/18
10020,1,1001,Hulkey Fasteners,1122,Airframe fasteners,Airframe fasteners by Hulkey Fasteners,4.25,"15,500.00","65,875.00",30,7/21/18,8/10/18
10021,1,1001,Hulkey Fasteners,1122,Airframe fasteners,Airframe fasteners by Hulkey Fasteners,4.25,"12,500.00","53,125.00",30,7/22/18,8/9/18
10022,1,1005,Alum Sheeting,1243,Airframe fasteners,Airframe fasteners by Alum Sheeting,4.25,"9,000.00","38,250.00",30,7/22/18,8/10/18
